date,open,prev_close,close,vix_close,vix_prev,gap_pct,us_pct,fii_net,pcr,sig_gap,sig_us,sig_fii,sig_pcr,morning_score
2025-05-05,24419.5,24346.7,24461.15,18.34,18.26,0.299,1.473,,,0,1,0,0,1
2025-05-06,24500.75,24461.15,24379.6,19.0,18.34,0.162,-0.638,,,0,-1,0,0,-1
2025-05-07,24233.3,24379.6,24414.4,19.06,19.0,-0.6,-0.769,,,-1,-1,0,0,-2
2025-05-08,24431.5,24414.4,24273.8,21.01,19.06,0.07,0.435,,,0,0,0,0,0
2025-05-09,23935.75,24273.8,24008.0,21.63,21.01,-1.393,0.58,,,-1,1,0,0,0
2025-05-12,24420.1,24008.0,24924.7,18.39,21.63,1.717,-0.071,,,1,0,0,0,1
2025-05-13,24864.05,24924.7,24578.35,18.2,18.39,-0.243,3.256,,,0,1,0,0,1
2025-05-14,24613.8,24578.35,24666.9,17.23,18.2,0.144,0.725,,,0,1,0,0,1
2025-05-15,24694.45,24666.9,25062.1,16.89,17.23,0.112,0.102,,,0,0,0,0,0
2025-05-16,25064.65,25062.1,25019.8,16.55,16.89,0.01,0.413,,,0,0,0,0,0
2025-05-19,25005.35,25019.8,24945.45,17.36,16.55,-0.058,0.701,,,0,1,0,0,1
2025-05-20,24996.2,24945.45,24683.9,17.39,17.36,0.203,0.088,,,0,0,0,0,0
2025-05-21,24744.25,24683.9,24813.45,17.55,17.39,0.244,-0.388,,,0,0,0,0,0
2025-05-22,24733.95,24813.45,24609.7,17.26,17.55,-0.32,-1.614,,,-1,-1,0,0,-2
2025-05-23,24639.5,24609.7,24853.15,17.28,17.26,0.121,-0.044,,,0,0,0,0,0
2025-05-26,24919.35,24853.15,25001.15,18.02,17.28,0.266,-0.671,,,0,-1,0,0,-1
2025-05-27,24956.65,25001.15,24826.2,18.54,18.02,-0.178,-0.671,,,0,-1,0,0,-1
2025-05-28,24832.5,24826.2,24752.45,18.02,18.54,0.025,2.046,,,0,1,0,0,1
2025-05-29,24825.1,24752.45,24833.6,16.42,18.02,0.294,-0.557,,,0,-1,0,0,-1
2025-05-30,24812.6,24833.6,24750.7,16.08,16.42,-0.085,0.401,,,0,0,0,0,0
2025-06-02,24669.7,24750.7,24716.6,17.16,16.08,-0.327,-0.008,,,-1,0,0,0,-1
2025-06-03,24786.3,24716.6,24542.5,16.56,17.16,0.282,0.41,,,0,0,0,0,0
2025-06-04,24560.45,24542.5,24620.2,15.75,16.56,0.073,0.58,,,0,1,0,0,1
2025-06-05,24691.2,24620.2,24750.9,15.08,15.75,0.288,0.007,,,0,0,0,0,0
2025-06-06,24748.7,24750.9,25003.05,14.63,15.08,-0.009,-0.528,,,0,-1,0,0,-1
2025-06-09,25160.1,25003.05,25103.2,14.69,14.63,0.628,1.028,,,1,1,0,0,2
2025-06-10,25196.05,25103.2,25104.25,14.02,14.69,0.37,0.092,,,1,0,0,0,1
2025-06-11,25134.15,25104.25,25141.4,13.67,14.02,0.119,0.548,,,0,1,0,0,1
2025-06-12,25164.45,25141.4,24888.2,14.02,13.67,0.092,-0.274,,,0,0,0,0,0
2025-06-13,24473.0,24888.2,24718.6,15.08,14.02,-1.668,0.382,,,-1,0,0,0,-1
2025-06-16,24732.35,24718.6,24946.5,14.84,15.08,0.056,-1.13,,,0,-1,0,0,-1
2025-06-17,24977.85,24946.5,24853.4,14.4,14.84,0.126,0.939,,,0,1,0,0,1
2025-06-18,24788.35,24853.4,24812.05,14.28,14.4,-0.262,-0.835,,,0,-1,0,0,-1
2025-06-19,24803.25,24812.05,24793.25,14.26,14.28,-0.035,-0.031,,,0,0,0,0,0
2025-06-20,24787.65,24793.25,25112.4,13.67,14.26,-0.023,-0.031,,,0,0,0,0,0
2025-06-23,24939.75,25112.4,24971.9,14.05,13.67,-0.688,-0.218,,,-1,0,0,0,-1
2025-06-24,25179.9,24971.9,25044.35,13.64,14.05,0.833,0.961,,,1,1,0,0,2
2025-06-25,25150.35,25044.35,25244.75,12.96,13.64,0.423,1.112,,,1,1,0,0,2
2025-06-26,25268.95,25244.75,25549.0,12.59,12.96,0.096,-0.0,,,0,0,0,0,0
2025-06-27,25576.65,25549.0,25637.8,12.39,12.59,0.108,0.802,,,0,1,0,0,1
2025-06-30,25661.65,25637.8,25517.05,12.79,12.39,0.093,0.522,,,0,1,0,0,1
2025-07-01,25551.35,25517.05,25541.8,12.53,12.79,0.134,0.516,,,0,1,0,0,1
2025-07-02,25588.3,25541.8,25453.4,12.45,12.53,0.182,-0.112,,,0,0,0,0,0
2025-07-03,25505.1,25453.4,25405.3,12.39,12.45,0.203,0.475,,,0,0,0,0,0
2025-07-04,25428.85,25405.3,25461.0,12.32,12.39,0.093,0.834,,,0,1,0,0,1
2025-07-07,25450.45,25461.0,25461.3,12.56,12.32,-0.041,0.834,,,0,1,0,0,1
2025-07-08,25427.85,25461.3,25522.5,12.2,12.56,-0.131,-0.786,,,0,-1,0,0,-1
2025-07-09,25514.6,25522.5,25476.1,11.94,12.2,-0.031,-0.072,,,0,0,0,0,0
2025-07-10,25511.65,25476.1,25355.25,11.67,11.94,0.14,0.606,,,0,1,0,0,1
2025-07-11,25255.5,25355.25,25149.85,11.82,11.67,-0.393,0.275,,,-1,0,0,0,-1
2025-07-14,25149.5,25149.85,25082.3,11.98,11.82,-0.001,-0.33,,,0,0,0,0,0
2025-07-15,25089.5,25082.3,25195.8,11.48,11.98,0.029,0.141,,,0,0,0,0,0
2025-07-16,25196.6,25195.8,25212.05,11.24,11.48,0.003,-0.396,,,0,0,0,0,0
2025-07-17,25230.75,25212.05,25111.45,11.24,11.24,0.074,0.319,,,0,0,0,0,0
2025-07-18,25108.55,25111.45,24968.4,11.39,11.24,-0.012,0.537,,,0,1,0,0,1
2025-07-21,24999.0,24968.4,25090.7,11.2,11.39,0.123,-0.009,,,0,0,0,0,0
2025-07-22,25166.65,25090.7,25060.9,10.75,11.2,0.303,0.14,,,1,0,0,0,1
2025-07-23,25139.35,25060.9,25219.9,10.52,10.75,0.313,0.064,,,1,0,0,0,1
2025-07-24,25243.3,25219.9,25062.1,10.72,10.52,0.093,0.781,,,0,1,0,0,1
2025-07-25,25010.35,25062.1,24837.0,11.28,10.72,-0.206,0.07,,,0,0,0,0,0
2025-07-28,24782.45,24837.0,24680.9,12.06,11.28,-0.22,0.397,,,0,0,0,0,0
2025-07-29,24609.65,24680.9,24821.1,11.53,12.06,-0.289,0.018,,,0,0,0,0,0
2025-07-30,24890.4,24821.1,24855.05,11.21,11.53,0.279,-0.296,,,0,0,0,0,0
2025-07-31,24642.25,24855.05,24768.35,11.54,11.21,-0.856,-0.125,,,-1,0,0,0,-1
2025-08-01,24734.9,24768.35,24565.35,11.98,11.54,-0.135,-0.369,,,0,0,0,0,0
2025-08-04,24596.05,24565.35,24722.75,11.97,11.98,0.125,-1.599,,,0,-1,0,0,-1
2025-08-05,24720.25,24722.75,24649.55,11.71,11.97,-0.01,1.474,,,0,1,0,0,1
2025-08-06,24641.35,24649.55,24574.2,11.96,11.71,-0.033,-0.486,,,0,0,0,0,0
2025-08-07,24464.2,24574.2,24596.15,11.69,11.96,-0.448,0.728,,,-1,1,0,0,0
2025-08-08,24544.25,24596.15,24363.3,12.03,11.69,-0.211,-0.08,,,0,0,0,0,0
2025-08-11,24371.5,24363.3,24585.05,12.22,12.03,0.034,0.78,,,0,1,0,0,1
2025-08-12,24563.35,24585.05,24487.4,12.23,12.22,-0.088,-0.25,,,0,0,0,0,0
2025-08-13,24586.2,24487.4,24619.35,12.14,12.23,0.403,1.135,,,1,1,0,0,2
2025-08-14,24607.25,24619.35,24631.3,12.36,12.14,-0.049,0.323,,,0,0,0,0,0
2025-08-18,24938.2,24631.3,24876.95,12.34,12.36,1.246,-0.29,,,1,0,0,0,1
2025-08-19,24891.35,24876.95,24980.65,11.79,12.34,0.058,-0.01,,,0,0,0,0,0
2025-08-20,24965.8,24980.65,25050.55,11.79,11.79,-0.059,-0.586,,,0,-1,0,0,-1
2025-08-21,25142.0,25050.55,25083.75,11.37,11.79,0.365,-0.243,,,1,0,0,0,1
2025-08-22,25064.15,25083.75,24870.1,11.73,11.37,-0.078,-0.4,,,0,0,0,0,0
2025-08-25,24949.15,24870.1,24967.75,11.76,11.73,0.318,1.519,,,1,1,0,0,2
2025-08-26,24899.5,24967.75,24712.05,12.19,11.76,-0.273,-0.427,,,0,0,0,0,0
2025-08-28,24695.8,24712.05,24500.9,12.18,12.19,-0.066,0.239,,,0,0,0,0,0
2025-08-29,24466.7,24500.9,24426.85,11.75,12.18,-0.14,0.316,,,0,0,0,0,0
2025-09-01,24432.7,24426.85,24625.05,11.29,11.75,0.024,-0.64,,,0,-1,0,0,-1
2025-09-02,24653.0,24625.05,24579.6,11.4,11.29,0.113,-0.64,,,0,-1,0,0,-1
2025-09-03,24616.5,24579.6,24715.05,10.93,11.4,0.15,-0.692,,,0,-1,0,0,-1
2025-09-04,24980.75,24715.05,24734.3,10.85,10.93,1.075,0.51,,,1,1,0,0,2
2025-09-05,24818.85,24734.3,24741.0,10.78,10.85,0.342,0.835,,,1,1,0,0,2
2025-09-08,24802.6,24741.0,24773.15,10.84,10.78,0.249,-0.317,,,0,0,0,0,0
2025-09-09,24864.1,24773.15,24868.6,10.69,10.84,0.367,0.211,,,1,0,0,0,1
2025-09-10,24991.0,24868.6,24973.1,10.54,10.69,0.492,0.269,,,1,0,0,0,1
2025-09-11,24945.5,24973.1,25005.5,10.36,10.54,-0.111,0.298,,,0,0,0,0,0
2025-09-12,25074.45,25005.5,25114.0,10.12,10.36,0.276,0.849,,,0,1,0,0,1
2025-09-15,25118.9,25114.0,25069.2,10.4,10.12,0.02,-0.048,,,0,0,0,0,0
2025-09-16,25073.6,25069.2,25239.1,10.27,10.4,0.018,0.471,,,0,0,0,0,0
2025-09-17,25276.6,25239.1,25330.25,10.25,10.27,0.149,-0.129,,,0,0,0,0,0
2025-09-18,25441.05,25330.25,25423.6,9.89,10.25,0.437,-0.097,,,1,0,0,0,1
2025-09-19,25410.2,25423.6,25327.05,9.97,9.89,-0.053,0.479,,,0,0,0,0,0
2025-09-22,25238.1,25327.05,25202.35,10.56,9.97,-0.351,0.489,,,-1,0,0,0,-1
2025-09-23,25209.0,25202.35,25169.5,10.63,10.56,0.026,0.441,,,0,0,0,0,0
2025-09-24,25108.75,25169.5,25056.9,10.52,10.63,-0.241,-0.55,,,0,-1,0,0,-1
2025-09-25,25034.5,25056.9,24890.85,10.78,10.52,-0.089,-0.285,,,0,0,0,0,0
2025-09-26,24818.55,24890.85,24654.7,11.43,10.78,-0.29,-0.501,,,0,-1,0,0,-1
2025-09-29,24728.55,24654.7,24634.9,11.37,11.43,0.3,0.59,,,0,1,0,0,1
2025-09-30,24691.95,24634.9,24611.1,11.07,11.37,0.232,0.264,,,0,0,0,0,0
2025-10-01,24620.55,24611.1,24836.3,10.29,11.07,0.038,0.409,,,0,0,0,0,0
2025-10-03,24759.55,24836.3,24894.25,10.06,10.29,-0.309,0.062,,,-1,0,0,0,-1
2025-10-06,24916.55,24894.25,25077.65,10.19,10.06,0.09,0.007,,,0,0,0,0,0
2025-10-07,25085.3,25077.65,25108.3,10.05,10.19,0.031,0.365,,,0,0,0,0,0
2025-10-08,25079.75,25108.3,25046.15,10.31,10.05,-0.114,-0.381,,,0,0,0,0,0
