date,fii_net_cr
2017-08-01,-945.83
2017-08-02,473.72
2017-08-03,24.07
2017-08-04,-853.8
2017-08-07,-199.21
2017-08-08,1539.82
2017-08-09,-841.44
2017-08-10,-1171.21
2017-08-11,-1943.86
2017-08-14,-1638.83
2017-08-16,-1090.1
2017-08-17,-981.05
2017-08-18,-2182.12
2017-08-21,-1983.39
2017-08-22,-828.69
2017-08-23,-1157.52
2017-08-24,-696.93
2017-08-28,-124.74
2017-08-29,-1459.64
2017-08-30,-12.46
2017-08-31,77.58
2017-09-01,-832.81
2017-09-04,-873.91
2017-09-05,-379.16
2017-09-06,-1353.02
2017-09-07,-564
2017-09-08,-256.42
2017-09-11,-392.52
2017-09-12,-1230.74
2017-09-13,-826.77
2017-09-14,-1334.23
2017-09-15,418.86
2017-09-18,-96.92
2017-09-19,-1719.62
2017-09-20,-1185.44
2017-09-21,-1204.95
2017-09-22,-1241.73
2017-09-25,-1249.45
2017-09-26,-1915.54
2017-09-27,-856.28
2017-09-28,-5328.46
2017-09-29,-1546.86
2017-10-03,-693.03
2017-10-04,-632.14
2017-10-05,-656.5
2017-10-06,-1040.4
2017-10-09,-475.11
2017-10-10,-504.82
2017-10-11,-107.95
2017-10-12,-668.13
2017-10-13,-1698.5
2017-10-16,-29.92
2017-10-17,-484.92
2017-10-18,-1251.16
2017-10-19,-43.74
2017-10-23,-81.51
2017-10-24,-1306.76
2017-10-25,3582.5
2017-10-26,-375.63
2017-10-27,-640.95
2017-10-30,-186.04
2017-10-31,-531.82
2017-11-01,1038.31
2017-11-02,1032.88
2017-11-03,-9690.84
2017-11-06,576.27
2017-11-07,461.47
2017-11-08,-3838.27
2017-11-09,-713.75
2017-11-10,-529.22
2017-11-13,-233.56
2017-11-14,2576.98
2017-11-15,-381.42
2017-11-16,-447.42
2017-11-17,1276.62
2017-11-20,-358.74
2017-11-21,-727.01
2017-11-22,-441.46
2017-11-23,73.22
2017-11-24,-416.28
2017-11-27,-424.77
2017-11-28,12.24
2017-11-29,-859.27
2017-11-30,-1500.76
2017-12-01,306.11
2017-12-04,-333.59
2017-12-05,-1470.56
2017-12-06,-1217.92
2017-12-07,-1075.62
2017-12-08,-675.16
2017-12-11,-185.6
2017-12-12,843.2
2017-12-13,-578.65
2017-12-26,-44.07
2017-12-27,172.32
2017-12-28,562.55
2017-12-29,595.04
2018-01-01,325.91
2018-01-02,522.74
2018-01-03,96.31
2018-01-04,212.05
2018-01-05,581.43
2018-01-08,692.83
2018-01-09,-303.94
2018-01-10,-572.26
2018-01-11,-623.63
