date,open,prev_close,close,vix_close,vix_prev,morning_score
2021-12-16,17373.0,17221.4,17248.4,15.9,17.22,1
2021-12-17,17276.0,17248.4,16985.2,16.34,15.9,-2
2021-12-20,16824.25,16985.2,16614.2,18.97,16.34,-3
2021-12-21,16773.15,16614.2,16770.85,17.54,18.97,-1
2021-12-22,16865.55,16770.85,16955.45,16.58,17.54,1
2021-12-23,17066.8,16955.45,17072.6,15.83,16.58,2
2021-12-24,17149.5,17072.6,17003.75,16.15,15.83,2
2021-12-27,16937.75,17003.75,17086.25,17.12,16.15,0
2021-12-28,17177.6,17086.25,17233.25,16.48,17.12,1
2021-12-29,17220.1,17233.25,17213.6,16.24,16.48,0
2021-12-30,17201.45,17213.6,17203.95,16.57,16.24,0
2021-12-31,17244.5,17203.95,17354.05,16.22,16.57,0
2022-01-03,17387.15,17354.05,17625.7,16.45,16.22,0
2022-01-04,17681.4,17625.7,17805.25,16.12,16.45,2
2022-01-05,17820.1,17805.25,17925.25,17.23,16.12,1
2022-01-06,17768.5,17925.25,17745.9,17.98,17.23,-2
2022-01-07,17797.6,17745.9,17812.7,17.6,17.98,-1
2022-01-10,17913.3,17812.7,18003.3,17.68,17.6,1
2022-01-11,17997.75,18003.3,18055.75,17.76,17.68,0
2022-01-12,18170.4,18055.75,18212.35,17.18,17.76,2
2022-01-13,18257.0,18212.35,18257.8,16.7,17.18,-1
2022-01-14,18185.0,18257.8,18255.75,16.56,16.7,-3
2022-01-17,18235.65,18255.75,18308.1,16.77,16.56,-1
2022-01-18,18337.2,18308.1,18113.05,17.78,16.77,0
2022-01-19,18129.2,18113.05,17938.4,17.82,17.78,-2
2022-01-20,17921.0,17938.4,17757.0,17.79,17.82,-2
2022-01-21,17613.7,17757.0,17617.15,18.89,17.79,-3
2022-01-24,17575.15,17617.15,17149.1,22.83,18.89,-2
2022-01-25,17001.55,17149.1,17277.95,21.36,22.83,-2
2022-01-27,17062.0,17277.95,17110.15,21.07,21.36,-2
2022-01-28,17208.3,17110.15,17101.95,20.7,21.07,-1
2022-01-31,17301.05,17101.95,17339.85,21.95,20.7,1
2022-02-01,17529.45,17339.85,17576.85,19.98,21.95,1
2022-02-02,17706.2,17576.85,17780.0,18.65,19.98,2
2022-02-03,17767.75,17780.0,17560.2,19.16,18.65,1
2022-02-04,17590.2,17560.2,17516.3,18.9,19.16,-2
2022-02-07,17456.3,17516.3,17213.6,20.44,18.9,-1
2022-02-08,17279.85,17213.6,17266.75,19.68,20.44,0
2022-02-09,17370.1,17266.75,17463.8,18.56,19.68,1
2022-02-10,17554.1,17463.8,17605.85,17.71,18.56,2
2022-02-11,17451.0,17605.85,17374.75,18.68,17.71,-3
2022-02-14,17076.15,17374.75,16842.8,22.98,18.68,-2
2022-02-15,16933.25,16842.8,17352.45,20.61,22.98,0
2022-02-16,17408.45,17352.45,17322.2,20.59,20.61,1
2022-02-17,17396.55,17322.2,17304.6,22.01,20.59,0
2022-02-18,17236.05,17304.6,17276.3,22.17,22.01,-3
2022-02-21,17192.25,17276.3,17206.65,22.9,22.17,-3
2022-02-22,16847.95,17206.65,17092.2,26.66,22.9,-3
2022-02-23,17194.5,17092.2,17063.25,24.54,26.66,-1
2022-02-24,16548.9,17063.25,16247.95,31.98,24.54,-3
2022-02-25,16515.65,16247.95,16658.4,26.74,31.98,1
2022-02-28,16481.6,16658.4,16793.9,28.57,26.74,-1
2022-03-02,16593.1,16793.9,16605.95,29.23,28.57,-3
2022-03-03,16723.2,16605.95,16498.05,28.16,29.23,1
2022-03-04,16339.45,16498.05,16245.35,27.96,28.16,-3
2022-03-07,15867.95,16245.35,15863.15,29.33,27.96,-3
2022-03-08,15747.75,15863.15,16013.45,28.59,29.33,-3
2022-03-09,16078.0,16013.45,16345.35,27.47,28.59,-1
2022-03-10,16757.1,16345.35,16594.9,25.58,27.47,1
2022-03-11,16528.8,16594.9,16630.45,25.35,25.58,-2
2022-03-14,16633.7,16630.45,16871.3,25.68,25.35,-2
2022-03-15,16900.65,16871.3,16663.0,26.73,25.68,-1
2022-03-16,16876.65,16663.0,16975.35,24.12,26.73,1
2022-03-17,17202.9,16975.35,17287.05,22.61,24.12,2
2022-03-21,17329.5,17287.05,17117.6,24.62,22.61,2
2022-03-22,17120.4,17117.6,17315.5,24.07,24.62,-1
2022-03-23,17405.05,17315.5,17245.65,24.75,24.07,2
2022-03-24,17094.95,17245.65,17222.75,23.93,24.75,-2
2022-03-25,17289.0,17222.75,17153.0,23.43,23.93,1
2022-03-28,17181.85,17153.0,17222.0,22.61,23.43,0
2022-03-29,17297.2,17222.0,17325.3,21.3,22.61,2
2022-03-30,17468.15,17325.3,17498.25,20.61,21.3,2
2022-03-31,17519.2,17498.25,17464.75,20.56,20.61,0
2022-04-01,17436.9,17464.75,17670.45,18.43,20.56,0
2022-04-04,17809.1,17670.45,18053.4,17.91,18.43,2
2022-04-05,18080.6,18053.4,17957.4,18.49,17.91,2
2022-04-06,17842.75,17957.4,17807.65,19.02,18.49,-2
2022-04-07,17723.3,17807.65,17639.55,19.0,19.02,-3
2022-04-08,17698.15,17639.55,17784.35,17.69,19.0,0
2022-04-11,17740.9,17784.35,17674.95,18.27,17.69,0
2022-04-12,17584.85,17674.95,17530.3,18.16,18.27,-3
2022-04-13,17599.9,17530.3,17475.65,17.79,18.16,0
2022-04-18,17183.45,17475.65,17173.65,19.34,17.79,-3
2022-04-19,17258.95,17173.65,16958.65,19.77,19.34,0
2022-04-20,17045.25,16958.65,17136.55,18.67,19.77,1
2022-04-21,17234.6,17136.55,17392.6,17.85,18.67,0
2022-04-22,17242.75,17392.6,17171.95,18.35,17.85,-2
2022-04-25,17009.05,17171.95,16953.95,21.26,18.35,-3
2022-04-26,17121.3,16953.95,17200.8,19.19,21.26,1
2022-04-27,17073.35,17200.8,17038.4,20.61,19.19,-3
2022-04-28,17189.5,17038.4,17245.05,19.38,20.61,0
2022-04-29,17329.25,17245.05,17102.55,19.42,19.38,2
2022-05-02,16924.45,17102.55,17069.1,20.28,19.42,-3
2022-05-04,17096.6,17069.1,16677.6,21.88,20.28,-1
2022-05-05,16854.75,16677.6,16682.65,20.29,21.88,1
2022-05-06,16415.55,16682.65,16411.25,21.25,20.29,-3
2022-05-09,16227.7,16411.25,16301.85,22.03,21.25,-3
2022-05-10,16248.9,16301.85,16240.05,22.3,22.03,-3
2022-05-11,16270.05,16240.05,16167.1,22.8,22.3,-1
2022-05-12,16021.1,16167.1,15808.0,24.27,22.8,-3
2022-05-13,15977.0,15808.0,15782.15,23.49,24.27,0
2022-05-16,15845.1,15782.15,15842.3,24.53,23.49,1
2022-05-17,15912.6,15842.3,16259.3,22.74,24.53,0
2022-05-18,16318.15,16259.3,16240.3,22.3,22.74,1
2022-05-19,15917.4,16240.3,15809.4,24.56,22.3,-3
2022-05-20,16043.8,15809.4,16266.15,23.1,24.56,-1
2022-05-23,16290.95,16266.15,16214.7,23.4,23.1,-1
2022-05-24,16225.55,16214.7,16125.15,25.64,23.4,0
2022-05-25,16196.35,16125.15,16025.8,25.28,25.64,-1
2022-05-26,16105.0,16025.8,16170.15,22.72,25.28,1
2022-05-27,16296.6,16170.15,16352.45,21.48,22.72,1
2022-05-30,16527.9,16352.45,16661.4,19.98,21.48,1
2022-05-31,16578.45,16661.4,16584.55,20.48,19.98,0
2022-06-01,16594.4,16584.55,16522.75,20.85,20.48,-2
2022-06-02,16481.65,16522.75,16628.0,20.32,20.85,-2
2022-06-03,16761.65,16628.0,16584.3,19.98,20.32,2
2022-06-06,16530.7,16584.3,16569.55,20.2,19.98,-3
2022-06-07,16469.6,16569.55,16416.35,20.43,20.2,-2
2022-06-08,16474.95,16416.35,16356.25,19.84,20.43,1
2022-06-09,16263.85,16356.25,16478.1,19.14,19.84,-3
2022-06-10,16283.95,16478.1,16201.8,19.58,19.14,-3
2022-06-13,15877.55,16201.8,15774.4,22.37,19.58,-3
2022-06-14,15674.25,15774.4,15732.1,21.89,22.37,-3
2022-06-15,15729.25,15732.1,15692.15,22.15,21.89,-1
2022-06-16,15832.25,15692.15,15360.6,22.87,22.15,1
2022-06-17,15272.65,15360.6,15293.5,22.76,22.87,-3
2022-06-20,15334.5,15293.5,15350.15,22.41,22.76,-1
2022-06-21,15455.95,15350.15,15638.8,21.14,22.41,0
2022-06-22,15545.65,15638.8,15413.3,21.3,21.14,-1
2022-06-23,15451.55,15413.3,15556.65,20.88,21.3,-1
2022-06-24,15657.4,15556.65,15699.25,20.55,20.88,1
2022-06-27,15926.2,15699.25,15832.05,21.01,20.55,1
2022-06-28,15757.45,15832.05,15850.2,21.45,21.01,-2
2022-06-29,15701.7,15850.2,15799.1,21.9,21.45,-3
2022-06-30,15774.5,15799.1,15780.25,21.84,21.9,0
2022-07-01,15703.7,15780.25,15752.05,21.25,21.84,-3
2022-07-04,15710.5,15752.05,15835.35,20.97,21.25,0
2022-07-05,15909.15,15835.35,15810.85,20.79,20.97,1
2022-07-06,15818.2,15810.85,15989.8,20.27,20.79,1
2022-07-07,16113.75,15989.8,16132.9,19.2,20.27,1
2022-07-08,16273.65,16132.9,16220.6,18.4,19.2,2
